% Model:              Untitled.mph
% Version:            COMSOL 6.3.0.290
% Date:               Aug 28 2026, 18:55
% Dimension:          3
% Nodes:              10000
% Expressions:        3
% Description:        Bx, By, Bz
% Length unit:        mm
% x             y              z              mfnc.Bx (T)    mfnc.By (T)    mfnc.Bz (T)
-99.000         -99.000        -20.000        -7.8918E-5     2.8683E-4      -2.7204E-4
-97.000         -99.000        -20.000        -8.3825E-5     2.8978E-4      -2.7840E-4
-95.000         -99.000        -20.000        -8.8905E-5     2.9256E-4      -2.8490E-4
-93.000         -99.000        -20.000        -9.4103E-5     2.9520E-4      -2.9154E-4
-91.000         -99.000        -20.000        -9.9434E-5     2.9770E-4      -2.9834E-4
-89.000         -99.000        -20.000        -1.0486E-4     3.0002E-4      -3.0515E-4
-87.000         -99.000        -20.000        -1.1036E-4     3.0221E-4      -3.1220E-4
-85.000         -99.000        -20.000        -1.1601E-4     3.0422E-4      -3.1937E-4
-83.000         -99.000        -20.000        -1.2174E-4     3.0605E-4      -3.2662E-4
-81.000         -99.000        -20.000        -1.2759E-4     3.0775E-4      -3.3403E-4
-79.000         -99.000        -20.000        -1.3349E-4     3.0924E-4      -3.4148E-4
-77.000         -99.000        -20.000        -1.3951E-4     3.1057E-4      -3.4902E-4
-75.000         -99.000        -20.000        -1.4564E-4     3.1175E-4      -3.5670E-4
-73.000         -99.000        -20.000        -1.5185E-4     3.1275E-4      -3.6447E-4
-71.000         -99.000        -20.000        -1.5816E-4     3.1356E-4      -3.7222E-4
-69.000         -99.000        -20.000        -1.6455E-4     3.1418E-4      -3.8010E-4
-67.000         -99.000        -20.000        -1.7103E-4     3.1466E-4      -3.8807E-4
-65.000         -99.000        -20.000        -1.7765E-4     3.1491E-4      -3.9616E-4
-63.000         -99.000        -20.000        -1.8437E-4     3.1498E-4      -4.0428E-4
-61.000         -99.000        -20.000        -1.9119E-4     3.1487E-4      -4.1235E-4
-59.000         -99.000        -20.000        -1.9816E-4     3.1450E-4      -4.2056E-4
-57.000         -99.000        -20.000        -2.0523E-4     3.1391E-4      -4.2880E-4
-55.000         -99.000        -20.000        -2.1242E-4     3.1312E-4      -4.3709E-4
-53.000         -99.000        -20.000        -2.1977E-4     3.1208E-4      -4.4548E-4
-51.000         -99.000        -20.000        -2.2723E-4     3.1073E-4      -4.5382E-4
-49.000         -99.000        -20.000        -2.3480E-4     3.0909E-4      -4.6208E-4
-47.000         -99.000        -20.000        -2.4250E-4     3.0714E-4      -4.7061E-4
-45.000         -99.000        -20.000        -2.5035E-4     3.0488E-4      -4.7910E-4
-43.000         -99.000        -20.000        -2.5830E-4     3.0224E-4      -4.8763E-4
-41.000         -99.000        -20.000        -2.6635E-4     2.9924E-4      -4.9618E-4
-39.000         -99.000        -20.000        -2.7448E-4     2.9584E-4      -5.0469E-4
-37.000         -99.000        -20.000        -2.8263E-4     2.9205E-4      -5.1330E-4
-35.000         -99.000        -20.000        -2.9087E-4     2.8779E-4      -5.2188E-4
-33.000         -99.000        -20.000        -2.9916E-4     2.8312E-4      -5.3045E-4
-31.000         -99.000        -20.000        -3.0741E-4     2.7798E-4      -5.3908E-4
-29.000         -99.000        -20.000        -3.1563E-4     2.7237E-4      -5.4769E-4
-27.000         -99.000        -20.000        -3.2382E-4     2.6626E-4      -5.5636E-4
-25.000         -99.000        -20.000        -3.3194E-4     2.5966E-4      -5.6500E-4
-23.000         -99.000        -20.000        -3.3993E-4     2.5261E-4      -5.7362E-4
-21.000         -99.000        -20.000        -3.4780E-4     2.4510E-4      -5.8215E-4
-19.000         -99.000        -20.000        -3.5541E-4     2.3711E-4      -5.9043E-4
-17.000         -99.000        -20.000        -3.6288E-4     2.2865E-4      -5.9922E-4
-15.000         -99.000        -20.000        -3.7015E-4     2.1973E-4      -6.0754E-4
-13.000         -99.000        -20.000        -3.7717E-4     2.1043E-4      -6.1599E-4
-11.000         -99.000        -20.000        -3.8392E-4     2.0069E-4      -6.2429E-4
-9.0000         -99.000        -20.000        -3.9033E-4     1.9061E-4      -6.3230E-4
-7.0000         -99.000        -20.000        -3.9650E-4     1.8012E-4      -6.4048E-4
-5.0000         -99.000        -20.000        -4.0236E-4     1.6931E-4      -6.4843E-4
-3.0000         -99.000        -20.000        -4.0793E-4     1.5818E-4      -6.5632E-4
