% Model:              Untitled.mph
% Version:            COMSOL 6.3.0.290
% Date:               Aug 28 2026, 18:55
% Dimension:          3
% Nodes:              10000
% Expressions:        3
% Description:        Bx, By, Bz
% Length unit:        mm
% x             y              z              mfnc.Bx (T)    mfnc.By (T)    mfnc.Bz (T)
-1.0000         -99.000        -20.000        -4.1321E-4     1.4682E-4      -6.6395E-4
1.0000          -99.000        -20.000        -4.1807E-4     1.3517E-4      -6.7153E-4
3.0000          -99.000        -20.000        -4.2273E-4     1.2323E-4      -6.7889E-4
5.0000          -99.000        -20.000        -4.2706E-4     1.1106E-4      -6.8616E-4
7.0000          -99.000        -20.000        -4.3114E-4     9.8742E-5      -6.9330E-4
9.0000          -99.000        -20.000        -4.3491E-4     8.6118E-5      -6.9998E-4
11.000          -99.000        -20.000        -4.3835E-4     7.3354E-5      -7.0643E-4
13.000          -99.000        -20.000        -4.4161E-4     6.0331E-5      -7.1327E-4
15.000          -99.000        -20.000        -4.4461E-4     4.7061E-5      -7.1963E-4
17.000          -99.000        -20.000        -4.4736E-4     3.3606E-5      -7.2564E-4
19.000          -99.000        -20.000        -4.4987E-4     1.9933E-5      -7.3165E-4
21.000          -99.000        -20.000        -4.5211E-4     5.9718E-6      -7.3731E-4
23.000          -99.000        -20.000        -4.5410E-4     -8.1748E-6     -7.4265E-4
25.000          -99.000        -20.000        -4.5583E-4     -2.2687E-5     -7.4806E-4
27.000          -99.000        -20.000        -4.5731E-4     -3.7465E-5     -7.5328E-4
29.000          -99.000        -20.000        -4.5847E-4     -5.2550E-5     -7.5790E-4
31.000          -99.000        -20.000        -4.5922E-4     -6.7913E-5     -7.6280E-4
33.000          -99.000        -20.000        -4.5970E-4     -8.3742E-5     -7.6708E-4
35.000          -99.000        -20.000        -4.5973E-4     -9.9913E-5     -7.7134E-4
37.000          -99.000        -20.000        -4.5930E-4     -1.1639E-4     -7.7524E-4
39.000          -99.000        -20.000        -4.5835E-4     -1.3315E-4     -7.7872E-4
41.000          -99.000        -20.000        -4.5678E-4     -1.5026E-4     -7.8170E-4
43.000          -99.000        -20.000        -4.5478E-4     -1.6783E-4     -7.8510E-4
45.000          -99.000        -20.000        -4.5200E-4     -1.8561E-4     -7.8792E-4
47.000          -99.000        -20.000        -4.4852E-4     -2.0356E-4     -7.9025E-4
49.000          -99.000        -20.000        -4.4422E-4     -2.2170E-4     -7.9189E-4
51.000          -99.000        -20.000        -4.3907E-4     -2.4002E-4     -7.9391E-4
53.000          -99.000        -20.000        -4.3317E-4     -2.5842E-4     -7.9499E-4
55.000          -99.000        -20.000        -4.2632E-4     -2.7680E-4     -7.9593E-4
57.000          -99.000        -20.000        -4.1853E-4     -2.9507E-4     -7.9623E-4
59.000          -99.000        -20.000        -4.0969E-4     -3.1319E-4     -7.9608E-4
61.000          -99.000        -20.000        -4.0014E-4     -3.3093E-4     -7.9553E-4
63.000          -99.000        -20.000        -3.8949E-4     -3.4835E-4     -7.9419E-4
65.000          -99.000        -20.000        -3.7784E-4     -3.6531E-4     -7.9245E-4
67.000          -99.000        -20.000        -3.6532E-4     -3.8172E-4     -7.9014E-4
69.000          -99.000        -20.000        -3.5182E-4     -3.9744E-4     -7.8719E-4
71.000          -99.000        -20.000        -3.3770E-4     -4.1232E-4     -7.8383E-4
73.000          -99.000        -20.000        -3.2270E-4     -4.2639E-4     -7.7991E-4
75.000          -99.000        -20.000        -3.0694E-4     -4.3951E-4     -7.7510E-4
77.000          -99.000        -20.000        -2.9051E-4     -4.5169E-4     -7.6986E-4
79.000          -99.000        -20.000        -2.7353E-4     -4.6281E-4     -7.6386E-4
81.000          -99.000        -20.000        -2.5622E-4     -4.7269E-4     -7.5761E-4
83.000          -99.000        -20.000        -2.3846E-4     -4.8139E-4     -7.5085E-4
85.000          -99.000        -20.000        -2.2033E-4     -4.8889E-4     -7.4331E-4
87.000          -99.000        -20.000        -2.0203E-4     -4.9521E-4     -7.3506E-4
89.000          -99.000        -20.000        -1.8368E-4     -5.0033E-4     -7.2654E-4
91.000          -99.000        -20.000        -1.6538E-4     -5.0413E-4     -7.1746E-4
93.000          -99.000        -20.000        -1.4719E-4     -5.0672E-4     -7.0806E-4
95.000          -99.000        -20.000        -1.2910E-4     -5.0806E-4     -6.9807E-4
97.000          -99.000        -20.000        -1.1124E-4     -5.0824E-4     -6.8776E-4
99.000          -99.000        -20.000        -9.3860E-5     -5.0743E-4     -6.7697E-4
-99.000         -97.000        -20.000        -7.5770E-5     2.9765E-4      -2.7876E-4
-97.000         -97.000        -20.000        -8.0850E-5     3.0084E-4      -2.8536E-4
-95.000         -97.000        -20.000        -8.6070E-5     3.0392E-4      -2.9230E-4
-93.000         -97.000        -20.000        -9.1403E-5     3.0683E-4      -2.9930E-4
-91.000         -97.000        -20.000        -9.6877E-5     3.0957E-4      -3.0646E-4
-89.000         -97.000        -20.000        -1.0246E-4     3.1216E-4      -3.1372E-4
-87.000         -97.000        -20.000        -1.0816E-4     3.1458E-4      -3.2112E-4
-85.000         -97.000        -20.000        -1.1400E-4     3.1684E-4      -3.2868E-4
-83.000         -97.000        -20.000        -1.1987E-4     3.1891E-4      -3.3635E-4
-81.000         -97.000        -20.000        -1.2587E-4     3.2081E-4      -3.4414E-4
-79.000         -97.000        -20.000        -1.3197E-4     3.2255E-4      -3.5196E-4
-77.000         -97.000        -20.000        -1.3816E-4     3.2413E-4      -3.6005E-4
-75.000         -97.000        -20.000        -1.4447E-4     3.2553E-4      -3.6810E-4
-73.000         -97.000        -20.000        -1.5083E-4     3.2673E-4      -3.7628E-4
-71.000         -97.000        -20.000        -1.5730E-4     3.2777E-4      -3.8451E-4
-69.000         -97.000        -20.000        -1.6389E-4     3.2866E-4      -3.9296E-4
-67.000         -97.000        -20.000        -1.7057E-4     3.2934E-4      -4.0132E-4
-65.000         -97.000        -20.000        -1.7738E-4     3.2985E-4      -4.0976E-4
-63.000         -97.000        -20.000        -1.8428E-4     3.3016E-4      -4.1834E-4
-61.000         -97.000        -20.000        -1.9131E-4     3.3024E-4      -4.2692E-4
-59.000         -97.000        -20.000        -1.9849E-4     3.3015E-4      -4.3557E-4
-57.000         -97.000        -20.000        -2.0578E-4     3.2983E-4      -4.4439E-4
-55.000         -97.000        -20.000        -2.1329E-4     3.2925E-4      -4.5303E-4
-53.000         -97.000        -20.000        -2.2084E-4     3.2844E-4      -4.6188E-4
-51.000         -97.000        -20.000        -2.2857E-4     3.2734E-4      -4.7068E-4
-49.000         -97.000        -20.000        -2.3648E-4     3.2594E-4      -4.7949E-4
-47.000         -97.000        -20.000        -2.4450E-4     3.2422E-4      -4.8837E-4
-45.000         -97.000        -20.000        -2.5273E-4     3.2220E-4      -4.9742E-4
-43.000         -97.000        -20.000        -2.6101E-4     3.1972E-4      -5.0640E-4
-41.000         -97.000        -20.000        -2.6945E-4     3.1690E-4      -5.1545E-4
-39.000         -97.000        -20.000        -2.7799E-4     3.1364E-4      -5.2448E-4
-37.000         -97.000        -20.000        -2.8662E-4     3.0999E-4      -5.3357E-4
-35.000         -97.000        -20.000        -2.9531E-4     3.0589E-4      -5.4262E-4
-33.000         -97.000        -20.000        -3.0405E-4     3.0122E-4      -5.5183E-4
-31.000         -97.000        -20.000        -3.1279E-4     2.9609E-4      -5.6097E-4
-29.000         -97.000        -20.000        -3.2152E-4     2.9048E-4      -5.7009E-4
-27.000         -97.000        -20.000        -3.3019E-4     2.8435E-4      -5.7928E-4
-25.000         -97.000        -20.000        -3.3879E-4     2.7769E-4      -5.8841E-4
-23.000         -97.000        -20.000        -3.4729E-4     2.7055E-4      -5.9754E-4
-21.000         -97.000        -20.000        -3.5561E-4     2.6280E-4      -6.0661E-4
-19.000         -97.000        -20.000        -3.6377E-4     2.5460E-4      -6.1571E-4
-17.000         -97.000        -20.000        -3.7171E-4     2.4592E-4      -6.2485E-4
-15.000         -97.000        -20.000        -3.7940E-4     2.3679E-4      -6.3382E-4
-13.000         -97.000        -20.000        -3.8686E-4     2.2714E-4      -6.4265E-4
-11.000         -97.000        -20.000        -3.9399E-4     2.1706E-4      -6.5153E-4
-9.0000         -97.000        -20.000        -4.0082E-4     2.0661E-4      -6.6018E-4
-7.0000         -97.000        -20.000        -4.0732E-4     1.9574E-4      -6.6870E-4
-5.0000         -97.000        -20.000        -4.1346E-4     1.8460E-4      -6.7731E-4
-3.0000         -97.000        -20.000        -4.1940E-4     1.7309E-4      -6.8566E-4
-1.0000         -97.000        -20.000        -4.2490E-4     1.6130E-4      -6.9389E-4
1.0000          -97.000        -20.000        -4.3009E-4     1.4917E-4      -7.0196E-4
3.0000          -97.000        -20.000        -4.3500E-4     1.3683E-4      -7.0997E-4
5.0000          -97.000        -20.000        -4.3949E-4     1.2429E-4      -7.1755E-4
7.0000          -97.000        -20.000        -4.4380E-4     1.1148E-4      -7.2520E-4
9.0000          -97.000        -20.000        -4.4777E-4     9.8536E-5      -7.3241E-4
11.000          -97.000        -20.000        -4.5149E-4     8.5290E-5      -7.3943E-4
13.000          -97.000        -20.000        -4.5493E-4     7.1919E-5      -7.4644E-4
15.000          -97.000        -20.000        -4.5809E-4     5.8280E-5      -7.5316E-4
17.000          -97.000        -20.000        -4.6112E-4     4.4415E-5      -7.5976E-4
19.000          -97.000        -20.000        -4.6386E-4     3.0387E-5      -7.6607E-4
21.000          -97.000        -20.000        -4.6637E-4     1.6027E-5      -7.7210E-4
23.000          -97.000        -20.000        -4.6866E-4     1.3554E-6      -7.7812E-4
25.000          -97.000        -20.000        -4.7066E-4     -1.3498E-5     -7.8376E-4
27.000          -97.000        -20.000        -4.7251E-4     -2.8724E-5     -7.8911E-4
29.000          -97.000        -20.000        -4.7397E-4     -4.4402E-5     -7.9444E-4
31.000          -97.000        -20.000        -4.7515E-4     -6.0422E-5     -7.9955E-4
33.000          -97.000        -20.000        -4.7598E-4     -7.6779E-5     -8.0426E-4
35.000          -97.000        -20.000        -4.7629E-4     -9.3564E-5     -8.0868E-4
37.000          -97.000        -20.000        -4.7638E-4     -1.1072E-4     -8.1297E-4
39.000          -97.000        -20.000        -4.7577E-4     -1.2839E-4     -8.1698E-4
41.000          -97.000        -20.000        -4.7464E-4     -1.4646E-4     -8.2063E-4
43.000          -97.000        -20.000        -4.7286E-4     -1.6490E-4     -8.2405E-4
45.000          -97.000        -20.000        -4.7031E-4     -1.8361E-4     -8.2706E-4
47.000          -97.000        -20.000        -4.6714E-4     -2.0256E-4     -8.2973E-4
49.000          -97.000        -20.000        -4.6305E-4     -2.2194E-4     -8.3198E-4
51.000          -97.000        -20.000        -4.5810E-4     -2.4153E-4     -8.3350E-4
53.000          -97.000        -20.000        -4.5224E-4     -2.6122E-4     -8.3556E-4
55.000          -97.000        -20.000        -4.4517E-4     -2.8082E-4     -8.3632E-4
57.000          -97.000        -20.000        -4.3741E-4     -3.0027E-4     -8.3678E-4
59.000          -97.000        -20.000        -4.2840E-4     -3.1982E-4     -8.3688E-4
61.000          -97.000        -20.000        -4.1842E-4     -3.3911E-4     -8.3634E-4
63.000          -97.000        -20.000        -4.0734E-4     -3.5789E-4     -8.3528E-4
65.000          -97.000        -20.000        -3.9511E-4     -3.7621E-4     -8.3308E-4
67.000          -97.000        -20.000        -3.8206E-4     -3.9381E-4     -8.3112E-4
69.000          -97.000        -20.000        -3.6788E-4     -4.1084E-4     -8.2817E-4
71.000          -97.000        -20.000        -3.5283E-4     -4.2710E-4     -8.2462E-4
73.000          -97.000        -20.000        -3.3688E-4     -4.4244E-4     -8.2034E-4
75.000          -97.000        -20.000        -3.1998E-4     -4.5668E-4     -8.1491E-4
77.000          -97.000        -20.000        -3.0262E-4     -4.6968E-4     -8.0973E-4
79.000          -97.000        -20.000        -2.8453E-4     -4.8163E-4     -8.0346E-4
81.000          -97.000        -20.000        -2.6593E-4     -4.9249E-4     -7.9671E-4
83.000          -97.000        -20.000        -2.4691E-4     -5.0201E-4     -7.8923E-4
85.000          -97.000        -20.000        -2.2748E-4     -5.1017E-4     -7.8073E-4
87.000          -97.000        -20.000        -2.0795E-4     -5.1687E-4     -7.7250E-4
89.000          -97.000        -20.000        -1.8832E-4     -5.2223E-4     -7.6303E-4
91.000          -97.000        -20.000        -1.6869E-4     -5.2629E-4     -7.5327E-4
93.000          -97.000        -20.000        -1.4917E-4     -5.2911E-4     -7.4293E-4
95.000          -97.000        -20.000        -1.2986E-4     -5.3053E-4     -7.3230E-4
97.000          -97.000        -20.000        -1.1076E-4     -5.3069E-4     -7.2114E-4
99.000          -97.000        -20.000        -9.2218E-5     -5.2954E-4     -7.0954E-4
-99.000         -95.000        -20.000        -7.2318E-5     3.0903E-4      -2.8572E-4
-97.000         -95.000        -20.000        -7.7556E-5     3.1254E-4      -2.9272E-4
-95.000         -95.000        -20.000        -8.2937E-5     3.1591E-4      -2.9998E-4
-93.000         -95.000        -20.000        -8.8418E-5     3.1910E-4      -3.0735E-4
-91.000         -95.000        -20.000        -9.4075E-5     3.2212E-4      -3.1491E-4
-89.000         -95.000        -20.000        -9.9834E-5     3.2499E-4      -3.2256E-4
-87.000         -95.000        -20.000        -1.0570E-4     3.2768E-4      -3.3045E-4
-85.000         -95.000        -20.000        -1.1167E-4     3.3018E-4      -3.3838E-4
-83.000         -95.000        -20.000        -1.1774E-4     3.3251E-4      -3.4638E-4
-81.000         -95.000        -20.000        -1.2394E-4     3.3468E-4      -3.5478E-4
-79.000         -95.000        -20.000        -1.3020E-4     3.3666E-4      -3.6309E-4
-77.000         -95.000        -20.000        -1.3657E-4     3.3849E-4      -3.7150E-4
-75.000         -95.000        -20.000        -1.4303E-4     3.4012E-4      -3.8005E-4
-73.000         -95.000        -20.000        -1.4956E-4     3.4158E-4      -3.8871E-4
-71.000         -95.000        -20.000        -1.5622E-4     3.4287E-4      -3.9742E-4
-69.000         -95.000        -20.000        -1.6300E-4     3.4402E-4      -4.0639E-4
-67.000         -95.000        -20.000        -1.6986E-4     3.4496E-4      -4.1508E-4
-65.000         -95.000        -20.000        -1.7682E-4     3.4571E-4      -4.2419E-4
-63.000         -95.000        -20.000        -1.8393E-4     3.4628E-4      -4.3318E-4
-61.000         -95.000        -20.000        -1.9117E-4     3.4666E-4      -4.4231E-4
-59.000         -95.000        -20.000        -1.9856E-4     3.4685E-4      -4.5135E-4
-57.000         -95.000        -20.000        -2.0611E-4     3.4681E-4      -4.6068E-4
-55.000         -95.000        -20.000        -2.1381E-4     3.4651E-4      -4.6991E-4
-53.000         -95.000        -20.000        -2.2165E-4     3.4597E-4      -4.7917E-4
-51.000         -95.000        -20.000        -2.2968E-4     3.4515E-4      -4.8849E-4
-49.000         -95.000        -20.000        -2.3791E-4     3.4404E-4      -4.9787E-4
-47.000         -95.000        -20.000        -2.4630E-4     3.4259E-4      -5.0738E-4
-45.000         -95.000        -20.000        -2.5480E-4     3.4078E-4      -5.1668E-4
-43.000         -95.000        -20.000        -2.6353E-4     3.3857E-4      -5.2626E-4
-41.000         -95.000        -20.000        -2.7237E-4     3.3597E-4      -5.3578E-4
-39.000         -95.000        -20.000        -2.8136E-4     3.3293E-4      -5.4537E-4
-37.000         -95.000        -20.000        -2.9049E-4     3.2945E-4      -5.5501E-4
-35.000         -95.000        -20.000        -2.9962E-4     3.2542E-4      -5.6467E-4
-33.000         -95.000        -20.000        -3.0887E-4     3.2088E-4      -5.7437E-4
-31.000         -95.000        -20.000        -3.1811E-4     3.1585E-4      -5.8400E-4
-29.000         -95.000        -20.000        -3.2743E-4     3.1024E-4      -5.9369E-4
-27.000         -95.000        -20.000        -3.3664E-4     3.0408E-4      -6.0352E-4
-25.000         -95.000        -20.000        -3.4578E-4     2.9734E-4      -6.1319E-4
-23.000         -95.000        -20.000        -3.5474E-4     2.9008E-4      -6.2272E-4
-21.000         -95.000        -20.000        -3.6363E-4     2.8221E-4      -6.3252E-4
-19.000         -95.000        -20.000        -3.7234E-4     2.7379E-4      -6.4229E-4
-17.000         -95.000        -20.000        -3.8083E-4     2.6486E-4      -6.5197E-4
-15.000         -95.000        -20.000        -3.8896E-4     2.5538E-4      -6.6158E-4
-13.000         -95.000        -20.000        -3.9680E-4     2.4548E-4      -6.7100E-4
-11.000         -95.000        -20.000        -4.0440E-4     2.3505E-4      -6.8046E-4
-9.0000         -95.000        -20.000        -4.1169E-4     2.2419E-4      -6.8964E-4
-7.0000         -95.000        -20.000        -4.1860E-4     2.1295E-4      -6.9892E-4
-5.0000         -95.000        -20.000        -4.2510E-4     2.0133E-4      -7.0803E-4
-3.0000         -95.000        -20.000        -4.3125E-4     1.8941E-4      -7.1672E-4
-1.0000         -95.000        -20.000        -4.3705E-4     1.7718E-4      -7.2569E-4
1.0000          -95.000        -20.000        -4.4251E-4     1.6464E-4      -7.3429E-4
3.0000          -95.000        -20.000        -4.4765E-4     1.5186E-4      -7.4261E-4
5.0000          -95.000        -20.000        -4.5244E-4     1.3886E-4      -7.5089E-4
7.0000          -95.000        -20.000        -4.5694E-4     1.2569E-4      -7.5895E-4
9.0000          -95.000        -20.000        -4.6108E-4     1.1231E-4      -7.6684E-4
11.000          -95.000        -20.000        -4.6499E-4     9.8692E-5      -7.7453E-4
13.000          -95.000        -20.000        -4.6865E-4     8.4913E-5      -7.8176E-4
15.000          -95.000        -20.000        -4.7205E-4     7.0909E-5      -7.8882E-4
17.000          -95.000        -20.000        -4.7527E-4     5.6674E-5      -7.9597E-4
19.000          -95.000        -20.000        -4.7828E-4     4.2217E-5      -8.0282E-4
21.000          -95.000        -20.000        -4.8106E-4     2.7487E-5      -8.0935E-4
23.000          -95.000        -20.000        -4.8366E-4     1.2454E-5      -8.1553E-4
25.000          -95.000        -20.000        -4.8603E-4     -2.8921E-6     -8.2172E-4
27.000          -95.000        -20.000        -4.8814E-4     -1.8588E-5     -8.2736E-4
29.000          -95.000        -20.000        -4.9003E-4     -3.4709E-5     -8.3319E-4
31.000          -95.000        -20.000        -4.9166E-4     -5.1243E-5     -8.3858E-4
33.000          -95.000        -20.000        -4.9287E-4     -6.8238E-5     -8.4379E-4
35.000          -95.000        -20.000        -4.9376E-4     -8.5679E-5     -8.4875E-4
37.000          -95.000        -20.000        -4.9413E-4     -1.0361E-4     -8.5335E-4
39.000          -95.000        -20.000        -4.9400E-4     -1.2202E-4     -8.5781E-4
41.000          -95.000        -20.000        -4.9330E-4     -1.4098E-4     -8.6174E-4
43.000          -95.000        -20.000        -4.9201E-4     -1.6037E-4     -8.6550E-4
45.000          -95.000        -20.000        -4.8984E-4     -1.8017E-4     -8.6890E-4
47.000          -95.000        -20.000        -4.8691E-4     -2.0036E-4     -8.7186E-4
49.000          -95.000        -20.000        -4.8313E-4     -2.2095E-4     -8.7454E-4
51.000          -95.000        -20.000        -4.7834E-4     -2.4179E-4     -8.7684E-4
53.000          -95.000        -20.000        -4.7258E-4     -2.6281E-4     -8.7856E-4
55.000          -95.000        -20.000        -4.6570E-4     -2.8388E-4     -8.7983E-4
57.000          -95.000        -20.000        -4.5773E-4     -3.0497E-4     -8.8072E-4
59.000          -95.000        -20.000        -4.4846E-4     -3.2589E-4     -8.8071E-4
61.000          -95.000        -20.000        -4.3818E-4     -3.4672E-4     -8.8039E-4
63.000          -95.000        -20.000        -4.2667E-4     -3.6707E-4     -8.7929E-4
65.000          -95.000        -20.000        -4.1400E-4     -3.8690E-4     -8.7758E-4
67.000          -95.000        -20.000        -4.0019E-4     -4.0609E-4     -8.7528E-4
69.000          -95.000        -20.000        -3.8522E-4     -4.2456E-4     -8.7221E-4
71.000          -95.000        -20.000        -3.6916E-4     -4.4223E-4     -8.6848E-4
73.000          -95.000        -20.000        -3.5224E-4     -4.5883E-4     -8.6402E-4
75.000          -95.000        -20.000        -3.3442E-4     -4.7430E-4     -8.5877E-4
77.000          -95.000        -20.000        -3.1582E-4     -4.8859E-4     -8.5281E-4
79.000          -95.000        -20.000        -2.9640E-4     -5.0160E-4     -8.4620E-4
81.000          -95.000        -20.000        -2.7640E-4     -5.1332E-4     -8.3878E-4
83.000          -95.000        -20.000        -2.5596E-4     -5.2360E-4     -8.3069E-4
85.000          -95.000        -20.000        -2.3527E-4     -5.3236E-4     -8.2198E-4
87.000          -95.000        -20.000        -2.1441E-4     -5.3970E-4     -8.1272E-4
89.000          -95.000        -20.000        -1.9334E-4     -5.4555E-4     -8.0254E-4
91.000          -95.000        -20.000        -1.7211E-4     -5.4991E-4     -7.9193E-4
93.000          -95.000        -20.000        -1.5114E-4     -5.5282E-4     -7.8072E-4
95.000          -95.000        -20.000        -1.3065E-4     -5.5423E-4     -7.6920E-4
97.000          -95.000        -20.000        -1.1026E-4     -5.5430E-4     -7.5708E-4
99.000          -95.000        -20.000        -9.0350E-5     -5.5292E-4     -7.4446E-4
-99.000         -93.000        -20.000        -6.8574E-5     3.2098E-4      -2.9293E-4
-97.000         -93.000        -20.000        -7.3953E-5     3.2480E-4      -3.0038E-4
-95.000         -93.000        -20.000        -7.9511E-5     3.2844E-4      -3.0792E-4
-93.000         -93.000        -20.000        -8.5179E-5     3.3197E-4      -3.1572E-4
-91.000         -93.000        -20.000        -9.0969E-5     3.3526E-4      -3.2361E-4
-89.000         -93.000        -20.000        -9.6898E-5     3.3846E-4      -3.3180E-4
-87.000         -93.000        -20.000        -1.0295E-4     3.4142E-4      -3.4011E-4
-85.000         -93.000        -20.000        -1.0910E-4     3.4420E-4      -3.4845E-4
-83.000         -93.000        -20.000        -1.1536E-4     3.4680E-4      -3.5707E-4
-81.000         -93.000        -20.000        -1.2172E-4     3.4928E-4      -3.6584E-4
-79.000         -93.000        -20.000        -1.2814E-4     3.5153E-4      -3.7464E-4
-77.000         -93.000        -20.000        -1.3470E-4     3.5359E-4      -3.8359E-4
-75.000         -93.000        -20.000        -1.4133E-4     3.5549E-4      -3.9262E-4
-73.000         -93.000        -20.000        -1.4807E-4     3.5723E-4      -4.0188E-4
-71.000         -93.000        -20.000        -1.5489E-4     3.5875E-4      -4.1098E-4
-69.000         -93.000        -20.000        -1.6180E-4     3.6020E-4      -4.2047E-4
-67.000         -93.000        -20.000        -1.6885E-4     3.6142E-4      -4.2988E-4
-65.000         -93.000        -20.000        -1.7601E-4     3.6244E-4      -4.3936E-4
-63.000         -93.000        -20.000        -1.8331E-4     3.6330E-4      -4.4887E-4
-61.000         -93.000        -20.000        -1.9075E-4     3.6398E-4      -4.5846E-4
-59.000         -93.000        -20.000        -1.9833E-4     3.6449E-4      -4.6817E-4
-57.000         -93.000        -20.000        -2.0611E-4     3.6474E-4      -4.7784E-4
-55.000         -93.000        -20.000        -2.1404E-4     3.6474E-4      -4.8763E-4
-53.000         -93.000        -20.000        -2.2218E-4     3.6453E-4      -4.9742E-4
-51.000         -93.000        -20.000        -2.3049E-4     3.6404E-4      -5.0712E-4
-49.000         -93.000        -20.000        -2.3900E-4     3.6326E-4      -5.1720E-4
-47.000         -93.000        -20.000        -2.4774E-4     3.6211E-4      -5.2709E-4
-45.000         -93.000        -20.000        -2.5667E-4     3.6060E-4      -5.3705E-4
-43.000         -93.000        -20.000        -2.6579E-4     3.5867E-4      -5.4720E-4
-41.000         -93.000        -20.000        -2.7506E-4     3.5639E-4      -5.5711E-4
-39.000         -93.000        -20.000        -2.8448E-4     3.5355E-4      -5.6750E-4
-37.000         -93.000        -20.000        -2.9409E-4     3.5026E-4      -5.7765E-4
-35.000         -93.000        -20.000        -3.0382E-4     3.4639E-4      -5.8766E-4
-33.000         -93.000        -20.000        -3.1361E-4     3.4200E-4      -5.9815E-4
