PhysicalQuantity,RBFPeak,RBFPeakX_mm,RBFPeakY_mm,KrigingPeak,KrigingPeakX_mm,KrigingPeakY_mm,TPSPeak,TPSPeakX_mm,TPSPeakY_mm
|B|,0.0468427879538654,63,3,0.0409888027927055,59,7,0.0346905448830703,61,5
Ct_2D,9.9971284725795e-06,-7,-1,9.48078725686268e-06,-5,1,3.97570304962889e-06,-9,1
