Method,RMSE,MAE,NRMSE,R2,MaxError,PeakValueError,PeakPositionError_mm
RBF,0.00304305411173537,0.00144246486143438,0.0687730752553095,0.88306088717941,0.0263121914185812,0.00219192242695749,76
Global Ordinary Kriging,0.00294538615264092,0.00119928491206959,0.0665657777002211,0.890446835743876,0.0206296380301325,0.00366206273420236,72.1110255092798
Smoothing TPS,0.00346281663989923,0.00150011191744373,0.078259715610288,0.848574353664344,0.0220390001810879,0.00996032064383759,74.027022093287
