epsilon,RMSE_BxByBz_Validation,RMSE_Bmag_Validation
4.5,0.00639176332907322,0.00654346843342779
6.75,0.00577965443385864,0.00664390320904031
9,0.00565972497242218,0.00791655297001046
13.5,0.00620403666203694,0.0103688007871315
18,0.00648894003103331,0.0111818073190145
