Variable,RMSE,MAE
Bx,1.80948300663438e-14,9.0731314131222e-15
By,3.23464311183361e-14,1.77692509178171e-14
Bz,2.61926888470731e-14,1.34728196616663e-14
|B|,3.89912808986663e-14,2.0435955445236e-14
Ct_2D,1.05742021094131e-06,4.72729895638929e-07
