Quantity,Method,RMSE_T,MAE_T,MaxError_T
Bx,Kriging,0.00196104082774978,0.000882849230125215,0.0126846187758647
By,Kriging,0.00209717307933402,0.00105880397862688,0.0126055974368991
Bz,Kriging,0.00286616389599593,0.00138626761665225,0.0186041479969529
|B|,Kriging,0.00329290080778632,0.00162202627149014,0.0184978558710034
Bx,Physics constrained,0.00195483188114478,0.000879819654820203,0.0126848196913699
By,Physics constrained,0.00208818121573589,0.0010446304573462,0.0126041138591061
Bz,Physics constrained,0.00286661510158059,0.00138443986674861,0.0186044141381731
|B|,Physics constrained,0.00328487996699744,0.0016172903077058,0.0184986727919636
