Iteration,TotalLoss,DataLoss,TvLoss,CurlLoss,StepSize
0,0.0781459474650511,0,1.56291894930102,0.546210678525441,0
1,0.0780668315055549,0.000264222603698261,1.55605217803713,0.544377089967028,0.001
2,0.0774767637770863,0.000299841469095708,1.54353844615981,0.535882573628709,0.000525
3,0.0770534002535859,0.000311915331447505,1.53482969844277,0.529254923787908,0.000275625
4,0.076881871341628,0.000323374189666126,1.53116994303924,0.526552913219679,0.000144703125
5,0.0767863754561586,0.000331812353293295,1.52909126205731,0.525393098672741,7.5969140625e-05
6,0.0767794986720103,0.000344648370091966,1.52869700603837,0.525250664770681,7.976759765625e-05
7,0.0767345832219632,0.000355399516594871,1.52758367410737,0.524702732370352,8.37559775390625e-05
8,0.0767256665502743,0.000367079697953806,1.52717173704641,0.524505027427382,8.79437764160157e-05
9,0.07668894651907,0.000378212090443431,1.52621468857253,0.524000024145293,9.23409652368165e-05
10,0.076679824900175,0.000390005124457249,1.52579639551436,0.523891818292532,9.69580134986573e-05
11,0.0766492793069771,0.000401506176841013,1.52495546260272,0.523437829082524,0.00010180591417359
12,0.0766392222203357,0.000413494272227945,1.52451455896215,0.523267882802144,0.00010689620988227
13,0.0766128593401428,0.00042541265771671,1.52374893364852,0.522902692372852,0.000112241020376383
14,0.0766017165138627,0.000437689373348698,1.52328054281028,0.522721970879267,0.000117853071395202
15,0.0765790163363633,0.000449905171301975,1.52258222330123,0.522393106989603,0.000123745724964962
16,0.0765659247081208,0.000462522377369292,1.52206804661503,0.522183107479381,0.000129933011213211
17,0.0765470525050879,0.00047543025428289,1.5214324450161,0.521901738212282,0.000136429661773871
18,0.0765369148392402,0.000488524613976267,1.52096780450528,0.521697887209113,0.000143251144862565
19,0.076518074205569,0.000501829961631001,1.52032488487876,0.521359546924587,0.000150413702105693
20,0.076509587062667,0.000515406621675557,1.51988360881983,0.521234304701753,0.000157934387210978
21,0.076493457925361,0.00052895480800059,1.51929006234721,0.520975899734959,0.000165831106571526
22,0.0764872662760634,0.000542816004017235,1.51888900544092,0.520987987647081,0.000174122661900103
23,0.0764723771795133,0.000556708358499641,1.51831337642027,0.520718870198894,0.000182828794995108
24,0.0764692582132645,0.000570899184835561,1.51796718056858,0.520578661960413,0.000191970234744863
25,0.076455385067745,0.000585431740525973,1.51739906654438,0.520430376782284,0.000201568746482107
26,0.0761884617925458,0.000591043143728244,1.51194837297635,0.517419358782012,0.000105823591903106
27,0.0761651075088719,0.000602964440331618,1.51124286137081,0.517172052715936,5.55573857491306e-05
28,0.076153746755865,0.000612359492303642,1.51082774527123,0.517139765568459,5.83352550365872e-05
29,0.0761361476490695,0.000621177911902844,1.51029939474333,0.516936486866475,6.12520177884165e-05
30,0.0761268728409946,0.000629721502682595,1.50994302676624,0.516839003649893,6.43146186778373e-05
31,0.0761110219715332,0.000638043706522023,1.50945956530022,0.516668174841794,6.75303496117292e-05
32,0.0761045091975627,0.000646448097186376,1.50916122200753,0.516627310335627,7.09068670923157e-05
33,0.0760901714801583,0.000654677110710582,1.50870988738895,0.516452232769998,7.44522104469315e-05
34,0.076083885319459,0.000662889076153797,1.5084199248661,0.516372693419332,7.8174820969278e-05
35,0.0760703825633115,0.000671182652798596,1.50798399821026,0.516180190985421,8.20835620177419e-05
36,0.0760646918460642,0.000679608994839437,1.5077016570245,0.516104975215959,8.6187740118629e-05
37,0.0760527134993905,0.000688106759022685,1.50729213480736,0.515930947151484,9.04971271245605e-05
38,0.076047672283394,0.000696835652265578,1.50701673262257,0.515870292749799,9.50219834807885e-05
39,0.0760357606811514,0.000705677898410863,1.50660165565481,0.515734375085168,9.9773082654828e-05
40,0.0760314103922096,0.000714660630025941,1.50633499524367,0.515753589773913,0.000104761736787569
41,0.0760216125434867,0.000723722938622753,1.50595779209728,0.515577898468879,0.000109999823626948
42,0.0760183544834681,0.00073288279357776,1.50570943379781,0.51552480046991,0.000115499814808295
43,0.0760093860198878,0.000742209117884565,1.50534353804006,0.515413127453081,0.00012127480554871
44,0.0760064957366913,0.000751590540194925,1.50509810392993,0.51537216303048,0.000127338545826146
45,0.0759988716088354,0.000761118919513203,1.50475505378644,0.515234253897099,0.000133705473117453
46,0.0759982107631807,0.000770881618337911,1.50454658289685,0.515296426333468,0.000140390746773325
47,0.0759918666638072,0.000780906219503331,1.50421920888608,0.51514323244225,0.000147410284111992
48,0.0758072417711623,0.000785209167220049,1.50044065207884,0.512760126888489,7.73903991587957e-05
49,0.0757910557303135,0.000793515214411048,1.49995081031805,0.512575074535701,4.06299595583677e-05
50,0.0757852705143945,0.000800148551217103,1.49970243926355,0.512521781853308,4.26614575362861e-05
51,0.0757729059176585,0.000806300655118765,1.4993321052508,0.512403368507507,4.47945304131004e-05
52,0.075767098825485,0.000812174251830264,1.4990984914731,0.512328747434487,4.70342569337554e-05
53,0.0757580114056416,0.000817903588469163,1.49880215634345,0.512186341031137,4.93859697804432e-05
54,0.0757524514119416,0.000823723386013235,1.49857456051857,0.512113893581964,5.18552682694654e-05
55,0.0757437420524239,0.000829542181423849,1.49828399742,0.511988050594388,5.44480316829386e-05
56,0.0757387500848741,0.000835451839887657,1.49806596489973,0.511921833747278,5.71704332670856e-05
57,0.0757313959954116,0.000841301587276836,1.49780188816269,0.511814220432758,6.00289549304399e-05
58,0.0757270049223426,0.00084725045914102,1.49759508926403,0.511778106109056,6.30304026769619e-05
59,0.0757204835818467,0.000853222566398263,1.49734522030897,0.511656575557124,6.618192281081e-05
60,0.0757173534981567,0.000859270628417989,1.49716165739477,0.511614460326131,6.94910189513505e-05
61,0.0757103217210197,0.000865435336644907,1.4968977276875,0.511516995830201,7.2965569898918e-05
62,0.075707416348861,0.00087170705223633,1.49671418593249,0.511497617060418,7.66138483938639e-05
63,0.0757016085458146,0.000877991318981875,1.49647234453665,0.511394524869381,8.04445408135571e-05
64,0.0756990425626545,0.000884463915330813,1.49629157294647,0.511352460688623,8.44667678542349e-05
65,0.0756929751384175,0.000891069407930657,1.49603811460974,0.511228209759933,8.86901062469467e-05
66,0.075691643008322,0.000897816565204062,1.49587652886236,0.511183526709581,9.3124611559294e-05
67,0.0756869416898298,0.000904738175826414,1.49564407028007,0.511039566489031,9.77808421372587e-05
68,0.0756863284538966,0.000911835942386832,1.4954898502302,0.511038448889228,0.000102669884244122
69,0.0756817110887627,0.000919065327760056,1.49525291522005,0.510937683766408,0.000107803378456328
70,0.0755550141159763,0.000922339051667202,1.49265350128618,0.509779314513496,5.65967736895721e-05
71,0.0755441329202644,0.000928046121937888,1.49232173596653,0.509684465945331,2.97133061870253e-05
72,0.0755393103205919,0.000932630226496246,1.49213360188191,0.509638038286466,3.11989714963766e-05
73,0.0755308360460289,0.000936972396011779,1.49187727300034,0.509570991293688,3.27589200711955e-05
74,0.075526092003153,0.000941234699715663,1.49169714606875,0.509521900838092,3.43968660747552e-05
75,0.075521467020953,0.000945315185151629,1.49152303671603,0.509472421238272,3.6116709378493e-05
76,0.0755160792165079,0.000949383315282787,1.4913339180245,0.50942530976419,3.79225448474176e-05
