Method,RMSE_Bmag_T,MAE_Bmag_T,MaxError_Bmag_T,PeakValueError_T,PeakPositionError_mm,MeanAbsCurlZ_T_per_mm,MaxAbsCurlZ_T_per_mm
Kriging,0.00294538615264083,0.00119928491206949,0.0206296380301348,0.00366206273415887,72.1110255092798,7.45972489826032e-05,0.000759833673675
First-order Tikhonov,0.00358848269664632,0.00142370324051018,0.0225956289742229,0.00744255425468361,68.4689710744948,5.37545490715641e-05,0.00212421224701717
Physics constrained,0.00356416538553692,0.00140763233947236,0.0225578295683514,0.00744910138823867,68.4689710744948,4.49498564323207e-05,0.00173761681356458
