Iteration,TotalLoss,DataLoss,TvLoss,TraceLoss,CtLoss,StepSize
0,0.0814805646255274,0,1.56291894930102,1.79215820668329,0,0
1,0.0813719829572262,7.19493240235255e-06,1.56202125736717,1.78871362122864,0.000777809670767894,0.000125
2,0.0812117390703976,1.31875453111587e-05,1.56118477795572,1.78402887069858,0.00116618575836823,0.00013125
3,0.0811445424573942,2.12061639624023e-05,1.5606717579018,1.78139880676592,0.00231584809015306,0.0001378125
4,0.0810442473955693,2.934822701049e-05,1.56000039263413,1.77793952952433,0.00335054617989362,0.000144703125
5,0.0809716046348043,3.82345914607831e-05,1.55944007700388,1.77548361945985,0.00390812191010854,0.00015193828125
6,0.0808836019847844,4.74699234443959e-05,1.55873973184905,1.77269931187988,0.00433896816778237,0.0001595351953125
7,0.0808336717106712,5.7412725890305e-05,1.55821628781979,1.77100549780187,0.0046235553938955,0.000167511955078125
8,0.0807473873213003,6.76961906873893e-05,1.55766399746788,1.76828702142557,0.00488387055517166,0.000175887552832031
9,0.0807070771640065,7.89016677040728e-05,1.55725461868374,1.76675723805814,0.00523083700312868,0.000184681930473633
10,0.0806341674664558,8.9685728511542e-05,1.55665971069708,1.76447993153762,0.00538838028812939,0.000193916026997315
11,0.0805865704919901,0.000101215895411766,1.55621828321122,1.7626928336112,0.00582430108258133,0.00020361182834718
12,0.0805474536725731,0.000113573174574962,1.55571312405366,1.76119833676291,0.00616906113261149,0.000213792419764539
13,0.0805007815843267,0.00012617031870915,1.55519391177189,1.75954617682374,0.00640840677619063,0.000224482040752766
14,0.080456480151275,0.000138979346128955,1.55484574690793,1.75786282073321,0.00670765582942423,0.000235706142790405
15,0.0804336479481475,0.000152942341744138,1.55448914543941,1.75663430921311,0.00723175193357109,0.000247491449929925
16,0.080387430304048,0.000166963743629235,1.55407467558878,1.75492983608645,0.00745130951638489,0.000259866022426421
17,0.0803771059318859,0.000181251202848002,1.55378290213146,1.75411504925305,0.00782165898018601,0.000272859323547742
18,0.0803354206937222,0.000195969465195721,1.55332280008714,1.7524307035965,0.00822515008016164,0.000286502289725129
19,0.0803293298346585,0.000211091527246291,1.55308011114807,1.75166049938438,0.00865797475909335,0.000300827404211386
20,0.0796277802131647,0.000212204734777126,1.54955580121709,1.73466011021301,0.00539010031635623,0.000157934387210978
21,0.0795097282157417,0.000218024654149924,1.54898183099164,1.73110089950563,0.0057695053497567,8.29155532857632e-05
22,0.0794874502601492,0.000225279554609902,1.54876139455174,1.73024525657803,0.00592249953436564,8.70613309500514e-05
23,0.0794431175469556,0.000232282756232352,1.54848433632229,1.72877801032772,0.00608961966928186,9.1414397497554e-05
24,0.0794195203790021,0.000239465461713253,1.54826273463825,1.72793614206502,0.00615685646770718,9.59851173724317e-05
25,0.07937820512927,0.00024639834143117,1.54798339650135,1.72658113384178,0.00628331726800841,0.000100784373241053
26,0.0793645166450384,0.000253513211447776,1.54779335620272,1.7259960772318,0.00638102280224999,0.000105823591903106
27,0.0793370515986462,0.000260649965055139,1.54753986356224,1.724981089761,0.00657925646045985,0.000111114771498261
28,0.0793239811627,0.000268257485888678,1.54736460221018,1.72438896901581,0.0066867267367953,0.000116670510073174
29,0.0793003552078765,0.000275677291861748,1.54714572271075,1.72350276431637,0.0068166246206419,0.000122504035576833
