Iteration,TotalLoss,DataLoss,TvLoss,CurlLoss,StepSize
0,0.0972633212134415,0,1.56291894930102,0.546210678525441,0
1,0.0972135957210726,2.64842013462854e-05,1.56072966253772,0.547160811224015,0.00025
2,0.0968460397727467,4.20714481479464e-05,1.55894708404565,0.538760403494752,0.0002625
3,0.0967660812952997,6.53278782207469e-05,1.55796625053555,0.537212596865759,0.000275625
4,0.0965552908294531,8.72373535229374e-05,1.55653357789727,0.532610702316187,0.00028940625
5,0.0964862655060368,0.000111408492318497,1.5555550056258,0.531345906640813,0.0003038765625
6,0.0963740061407351,0.000135367438061014,1.55449171574837,0.528972940435873,0.000319070390625
7,0.0963300596141126,0.000160939067476867,1.55372533226863,0.528081540948694,0.00033502391015625
8,0.0962197087105042,0.000185722831125625,1.55256638279894,0.525876192555181,0.000351775105664063
9,0.0962015068271327,0.000212416463475508,1.55202841315223,0.525361991601304,0.000369363860947266
10,0.0961481884797946,0.00023904298462955,1.55113438624702,0.524355033794692,0.000387832053994629
11,0.0947454808798712,0.000240885282700533,1.54369624952741,0.494850946308579,0.00020361182834718
12,0.0945885553628891,0.000254679518963662,1.54271858292973,0.491369905641105,0.00010689620988227
13,0.0945360699919609,0.000269719142760865,1.54212871621852,0.490283286807833,0.000112241020376383
14,0.0944448553034507,0.000283626812686786,1.5414714672216,0.488218717990975,0.000117853071395202
15,0.0943986783491893,0.00029765025820637,1.54098126583086,0.487198994269713,0.000123745724964962
16,0.0943399662273024,0.000311750315288216,1.54051048590272,0.485791189053661,0.000129933011213211
17,0.0942946717565877,0.000326023989551649,1.53996296151674,0.484871419748538,0.000136429661773871
18,0.0942467749929992,0.000340257700521686,1.53943181734858,0.483855040715676,0.000143251144862565
19,0.0942183810782706,0.000354361916022909,1.53891103911385,0.483384777330153,0.000150413702105693
20,0.0941879644208383,0.000368913965446527,1.53856044926378,0.482600799777223,0.000157934387210978
21,0.0941589475535822,0.000383545146352996,1.53808488469417,0.482033090643448,0.000165831106571526
22,0.094137338856928,0.000398535189641302,1.5377082998625,0.481525390690331,0.000174122661900103
23,0.0941047152632868,0.000413857529720707,1.53722769859785,0.480842080104963,0.000182828794995108
24,0.0940935342065645,0.000429410915588969,1.53687011268859,0.480589075901314,0.000191970234744863
25,0.0940885994737685,0.000444971821365587,1.53646350665728,0.480584351986826,0.000201568746482107
26,0.0940661265340425,0.000460556568541542,1.53606375488516,0.480068063464078,0.000211647183806212
27,0.0940654487848008,0.000476491920293805,1.53567230011863,0.480152624530733,0.000222229542996523
28,0.0933288972971571,0.000481818186521931,1.53230959235597,0.463759985509624,0.000116670510073174
29,0.093237948257925,0.000490411100795898,1.53183022032499,0.461600746882275,6.12520177884165e-05
