Method,RMSE_Bmag_T,MAE_Bmag_T,MaxError_Bmag_T,PeakValueError_T,PeakPositionError_mm,MeanAbsPlanarTrace_T_per_mm,MaxAbsPlanarTrace_T_per_mm
Kriging,0.00329290080778632,0.00162202627149014,0.0184978558710034,0.0060589391624802,10.770329614269,0.000350700731799467,0.004193045795982
Physics constrained,0.00328487996699744,0.0016172903077058,0.0184986727919636,0.00605418291340142,10.770329614269,0.00033050231737164,0.00419383283139218
